project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
jackson-core,,71ea59578be8d2e50f0d7890795825385661c493,/home/dorma10/mutation-analysis/projects/jackson-core/src/test/java/com/fasterxml/jackson/core/JsonpCharacterEscapesTest.java,com.fasterxml.jackson.core.JsonpCharacterEscapesTest,/home/dorma10/mutation-analysis/projects/jackson-core/src/main/java/com/fasterxml/jackson/core/JsonpCharacterEscapes.java,com.fasterxml.jackson.core.JsonpCharacterEscapes,0.6,5.0,0.8181818181818182,False,True,False,False,False,False,True,False,46,375.98196211719284,3,2,0,0,4,3,3,3,0,0,-2.0,0,0.26666666666666666,0,0,0.0,3,5,0,5,7,31,115.68053735036396,8,3,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,False,False,False,False,False,0.8815887967745463,0.6321254372596741
jackson-core,,71ea59578be8d2e50f0d7890795825385661c493,/home/dorma10/mutation-analysis/projects/jackson-core/src/test/java/com/fasterxml/jackson/core/VersionTest.java,com.fasterxml.jackson.core.VersionTest,/home/dorma10/mutation-analysis/projects/jackson-core/src/main/java/com/fasterxml/jackson/core/Version.java,com.fasterxml.jackson.core.Version,0.24444444444444444,45.0,0.44680851063829785,True,True,False,False,False,False,False,False,141,1415.294137202923,26,0,10,10,7,3,78,36,42,44,0.2761904761904762,1,0.2734375,0,0,0.0,16,8,0,2,42,54,190.13269560484486,19,2,14,14,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,5,False,False,False,False,False,False,False,False,0.7297263853251934,0.7062520146369934
jackson-core,,71ea59578be8d2e50f0d7890795825385661c493,/home/dorma10/mutation-analysis/projects/jackson-core/src/test/java/com/fasterxml/jackson/core/io/SegmentedStringWriterTest.java,com.fasterxml.jackson.core.io.SegmentedStringWriterTest,/home/dorma10/mutation-analysis/projects/jackson-core/src/main/java/com/fasterxml/jackson/core/io/SegmentedStringWriter.java,com.fasterxml.jackson.core.io.SegmentedStringWriter,0.5384615384615384,13.0,0.9047619047619048,True,True,False,False,True,False,False,False,87,729.7678051985994,28,3,16,16,1,1,30,0,36,43,0.5818181818181818,3,0.75,0,0,0.0,12,1,0,1,17,48,251.9402801286373,11,2,10,10,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,5,False,False,False,False,False,False,False,False,0.8064921995004019,0.8065748810768127
jackson-core,,71ea59578be8d2e50f0d7890795825385661c493,/home/dorma10/mutation-analysis/projects/jackson-core/src/test/java/com/fasterxml/jackson/core/io/UTF8WriterTest.java,com.fasterxml.jackson.core.io.UTF8WriterTest,/home/dorma10/mutation-analysis/projects/jackson-core/src/main/java/com/fasterxml/jackson/core/io/UTF8Writer.java,com.fasterxml.jackson.core.io.UTF8Writer,0.5330578512396694,242.0,0.7526881720430108,True,True,False,False,False,False,False,False,387,2038.185145850177,36,1,24,24,10,4,43,20,23,44,0.6,0,0.3583333333333333,0,0,0.0,12,10,0,6,45,162,577.2113061450623,35,5,30,30,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,12,False,False,False,False,False,False,False,False,0.6631913930177689,0.5630660235881806
jackson-core,,71ea59578be8d2e50f0d7890795825385661c493,/home/dorma10/mutation-analysis/projects/jackson-core/src/test/java/com/fasterxml/jackson/core/json/JsonReadContextTest.java,com.fasterxml.jackson.core.json.JsonReadContextTest,/home/dorma10/mutation-analysis/projects/jackson-core/src/main/java/com/fasterxml/jackson/core/json/JsonReadContext.java,com.fasterxml.jackson.core.json.JsonReadContext,0.1935483870967742,31.0,0.5370370370370371,True,True,False,False,False,False,False,False,208,1198.608413746282,26,1,8,8,5,4,116,79,37,38,0.15441176470588236,2,0.20634920634920634,0,0,0.0,18,7,0,0,41,58,284.454657446388,21,5,18,18,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,5,False,False,False,False,False,False,False,False,0.7250841077831056,0.5562699337800344
jackson-core,,71ea59578be8d2e50f0d7890795825385661c493,/home/dorma10/mutation-analysis/projects/jackson-core/src/test/java/com/fasterxml/jackson/core/json/JsonFactoryTest.java,com.fasterxml.jackson.core.json.JsonFactoryTest,/home/dorma10/mutation-analysis/projects/jackson-core/src/main/java/com/fasterxml/jackson/core/JsonFactory.java,com.fasterxml.jackson.core.JsonFactory,0.3142857142857143,175.0,0.4820717131474104,True,True,False,True,True,True,False,False,1768,10533.649804677416,231,13,131,131,21,13,4521,4092,429,681,0.11997526283240567,4,0.06,0,0,0.0,100,21,4,2,363,291,1221.308694503305,84,5,77,77,1,1,18,15,3,3,-0.2,4,0.42857142857142855,0,0,0.0,7,1,0,0,15,False,False,False,True,True,True,False,False,0.8555779975652694,0.694415174126625
jackson-core,,71ea59578be8d2e50f0d7890795825385661c493,/home/dorma10/mutation-analysis/projects/jackson-core/src/test/java/com/fasterxml/jackson/core/format/DataFormatMatcherTest.java,com.fasterxml.jackson.core.format.DataFormatMatcherTest,/home/dorma10/mutation-analysis/projects/jackson-core/src/main/java/com/fasterxml/jackson/core/format/DataFormatMatcher.java,com.fasterxml.jackson.core.format.DataFormatMatcher,0.42857142857142855,21.0,0.6956521739130435,True,False,False,False,True,False,False,False,131,1266.3798988830201,13,4,6,6,6,5,12,3,9,11,0.3333333333333333,0,0.42857142857142855,0,0,0.0,7,6,0,0,28,66,337.7875916195058,18,3,14,14,1,1,3,0,3,3,0.0,1,0.75,0,0,0.0,4,1,0,1,8,False,False,False,False,False,False,False,False,0.8101110543523516,0.6094743609428406
jackson-core,,71ea59578be8d2e50f0d7890795825385661c493,/home/dorma10/mutation-analysis/projects/jackson-core/src/test/java/com/fasterxml/jackson/core/util/VersionUtilTest.java,com.fasterxml.jackson.core.util.VersionUtilTest,/home/dorma10/mutation-analysis/projects/jackson-core/src/main/java/com/fasterxml/jackson/core/util/VersionUtil.java,com.fasterxml.jackson.core.util.VersionUtil,0.5151515151515151,33.0,0.2954545454545455,True,False,False,False,False,False,False,False,165,1930.4289864769605,35,5,26,26,1,1,36,36,0,5,-0.10714285714285714,8,0.1111111111111111,0,0,0.0,9,1,0,1,30,46,168.49344498922,20,3,16,16,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,4,False,False,False,False,False,False,False,False,0.8001100487179227,0.6602427437901497
jackson-core,,71ea59578be8d2e50f0d7890795825385661c493,/home/dorma10/mutation-analysis/projects/jackson-core/src/test/java/com/fasterxml/jackson/core/util/RequestPayloadTest.java,com.fasterxml.jackson.core.util.RequestPayloadTest,/home/dorma10/mutation-analysis/projects/jackson-core/src/main/java/com/fasterxml/jackson/core/util/RequestPayload.java,com.fasterxml.jackson.core.util.RequestPayload,0.5,10.0,0.7368421052631579,True,False,False,False,False,False,False,False,67,588.9945384944208,6,1,2,2,4,4,1,0,5,5,0.6666666666666666,0,0.5,0,0,0.0,4,4,0,1,14,41,198.95869739015782,8,2,4,4,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,4,False,False,False,False,False,False,False,False,0.7440266162157059,0.6521310806274414
jackson-core,,71ea59578be8d2e50f0d7890795825385661c493,/home/dorma10/mutation-analysis/projects/jackson-core/src/test/java/com/fasterxml/jackson/core/util/SeparatorsTest.java,com.fasterxml.jackson.core.util.SeparatorsTest,/home/dorma10/mutation-analysis/projects/jackson-core/src/main/java/com/fasterxml/jackson/core/util/Separators.java,com.fasterxml.jackson.core.util.Separators,0.9,10.0,0.7857142857142857,True,True,False,False,False,False,True,False,63,336.1454993949843,9,1,0,0,4,2,18,0,18,18,0.35714285714285715,2,0.4166666666666667,0,0,0.0,9,4,0,4,16,69,242.74494077440517,23,2,20,20,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,3,False,False,False,False,False,False,False,False,0.8177479108174642,0.7289271354675293
