project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/MultiPartEmailTest.java,org.apache.commons.mail.MultiPartEmailTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/MultiPartEmail.java,org.apache.commons.mail.MultiPartEmail,0.551948051948052,308.0,0.8372093023255814,True,True,False,True,False,True,False,False,589,2757.0171967479273,76,15,54,54,5,4,216,201,15,44,0.10952380952380952,5,0.12727272727272726,0,0,0.0,22,5,0,5,88,419,1278.0335636422387,88,16,76,76,2,2,11,0,55,55,0.8,5,0.5833333333333334,0,0,0.0,12,2,0,2,34,False,False,False,True,False,True,False,True,0.9155050868337804,0.8976585368315378
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/HtmlEmailTest.java,org.apache.commons.mail.HtmlEmailTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/HtmlEmail.java,org.apache.commons.mail.HtmlEmail,0.5300751879699248,532.0,0.8194444444444444,True,True,False,True,False,True,False,False,715,5251.550324833775,78,18,67,67,7,4,42,29,13,24,0.3111111111111111,1,0.16883116883116886,0,0,0.0,11,7,1,2,61,756,2986.9318918028066,204,21,186,186,1,1,48,0,105,107,0.6617647058823529,3,0.8333333333333334,0,0,0.0,18,1,0,1,68,False,False,False,False,False,True,False,True,0.9072754207779379,0.8048372897836897
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/EmailAttachmentTest.java,org.apache.commons.mail.EmailAttachmentTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/EmailAttachment.java,org.apache.commons.mail.EmailAttachment,0.7894736842105263,19.0,1.0,True,True,False,False,False,False,True,False,162,661.9618542169443,10,1,0,0,7,2,40,35,5,5,-0.1111111111111111,1,0.14285714285714285,0,0,0.0,10,7,2,5,15,98,322.6155483269728,21,4,15,15,1,1,0,0,15,15,1.0,0,1.0,0,0,0.0,6,1,0,1,13,False,False,False,False,False,False,False,False,0.9747257530689241,0.7646808127562205
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/EmailUtilsTest.java,org.apache.commons.mail.EmailUtilsTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/EmailUtils.java,org.apache.commons.mail.EmailUtils,0.2572347266881029,622.0,0.5072463768115942,True,False,False,False,False,False,False,False,335,2910.6232723887183,26,8,17,17,5,5,36,36,0,1,-0.25,2,0.1111111111111111,0,0,0.0,9,5,0,5,33,54,198.87383097122364,6,3,4,4,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,3,False,False,False,False,False,False,False,False,0.8857523070441352,0.7777462005615234
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/EmailTest.java,org.apache.commons.mail.EmailTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/Email.java,org.apache.commons.mail.Email,0.4616552771450266,1317.0,0.7617647058823529,True,True,False,True,True,True,False,False,1997,10900.506570887384,223,24,141,141,62,12,3128,2935,193,249,0.05185185185185185,1,0.024783634933123525,0,0,0.0,82,62,29,6,307,1319,4008.699619000185,477,22,397,397,2,2,0,0,3160,3160,1.0,32,0.60625,0,0,0.0,80,2,0,2,163,True,False,False,True,True,True,False,True,0.9138237038036672,0.7387960504740476
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/ImageHtmlEmailTest.java,org.apache.commons.mail.ImageHtmlEmailTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/ImageHtmlEmail.java,org.apache.commons.mail.ImageHtmlEmail,0.6915887850467289,107.0,0.925,True,False,False,True,False,True,False,False,194,1461.2779565774906,21,6,17,17,5,3,5,4,1,3,0.0,1,0.2,0,0,0.0,4,5,2,3,12,509,1658.7349254515955,244,22,231,231,6,4,23,0,55,59,0.7121212121212122,1,0.3205128205128205,0,0,0.0,13,6,0,6,32,False,False,False,False,False,False,False,True,0.8876682668924332,0.5781955222288767
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/DefaultAuthenticatorTest.java,org.apache.commons.mail.DefaultAuthenticatorTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/DefaultAuthenticator.java,org.apache.commons.mail.DefaultAuthenticator,1.0,4.0,1.0,True,False,False,False,False,False,True,False,58,376.1057516687408,2,2,0,0,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,4,51,119.66952139692823,7,3,6,6,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1,False,False,False,False,False,False,False,False,0.9248292744159698,0.6788132190704346
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/SimpleEmailTest.java,org.apache.commons.mail.SimpleEmailTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/SimpleEmail.java,org.apache.commons.mail.SimpleEmail,0.7692307692307693,13.0,1.0,True,False,False,False,False,False,False,False,47,273.8608914880701,3,0,2,2,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,5,179,632.1394104235552,51,8,47,47,1,1,0,0,6,6,1.0,0,1.0,0,0,0.0,4,1,0,1,15,False,False,False,False,False,False,False,False,0.9301185607910156,0.9027295261621476
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/util/MimeMessageParserTest.java,org.apache.commons.mail.util.MimeMessageParserTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/util/MimeMessageParser.java,org.apache.commons.mail.util.MimeMessageParser,0.8100436681222707,458.0,0.946236559139785,True,True,False,True,False,False,False,False,456,2766.647618693773,84,27,58,58,6,5,270,215,55,64,0.13,4,0.16666666666666666,0,0,0.0,26,6,0,6,85,501,1511.0216909712092,354,13,340,340,0,0,91,91,0,0,-0.16666666666666666,0,0.0,0,0,0.0,14,0,0,0,29,False,False,False,False,False,True,False,True,0.8545630390827472,0.2173228386257376
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/util/IDNEmailAddressConverterTest.java,org.apache.commons.mail.util.IDNEmailAddressConverterTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/util/IDNEmailAddressConverter.java,org.apache.commons.mail.util.IDNEmailAddressConverter,0.8922155688622755,167.0,0.9333333333333332,True,True,False,False,False,False,False,False,121,662.5265391583756,19,2,13,13,0,0,15,15,0,7,0.2,0,0.0,0,0,0.0,6,0,0,0,16,88,278.89844259186975,20,3,14,14,6,3,0,0,15,15,1.0,0,0.3333333333333333,0,0,0.0,6,6,0,6,8,False,False,False,False,False,False,False,False,0.9071157475312552,0.5148669530948004
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/resolver/DataSourceUrlResolverTest.java,org.apache.commons.mail.resolver.DataSourceUrlResolverTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/resolver/DataSourceUrlResolver.java,org.apache.commons.mail.resolver.DataSourceUrlResolver,0.6666666666666666,90.0,0.8,False,True,False,True,False,False,False,False,133,766.6469260474718,16,5,10,10,1,1,9,3,6,8,0.3,2,0.6666666666666666,0,0,0.0,6,1,0,1,20,82,392.333146264094,15,6,12,12,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,9,False,False,False,False,False,False,False,False,0.8742265899976095,0.4801317900419235
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/resolver/DataSourceCompositeResolverTest.java,org.apache.commons.mail.resolver.DataSourceCompositeResolverTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/resolver/DataSourceCompositeResolver.java,org.apache.commons.mail.resolver.DataSourceCompositeResolver,0.6106870229007634,131.0,0.7826086956521741,True,True,False,False,False,False,False,False,107,710.8666184330957,12,3,7,7,1,1,7,4,3,5,0.16666666666666666,2,0.6,0,0,0.0,5,1,0,1,14,82,280.8534600539607,10,6,6,6,1,1,0,0,6,6,1.0,0,1.0,0,0,0.0,4,1,0,1,12,False,False,False,False,False,False,False,False,0.7421299099922181,0.501278854906559
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/resolver/DataSourceFileResolverTest.java,org.apache.commons.mail.resolver.DataSourceFileResolverTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/resolver/DataSourceFileResolver.java,org.apache.commons.mail.resolver.DataSourceFileResolver,0.6666666666666666,75.0,0.7142857142857143,False,True,False,True,False,False,False,False,113,665.1297555538678,13,4,7,7,1,1,9,3,6,8,0.3,2,0.6666666666666666,0,0,0.0,6,1,0,1,14,55,187.56814098349255,8,5,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,6,False,False,False,False,False,False,False,False,0.9252117176850636,0.5669938474893571
commons-email,,5516c487a5d03df520480d47f5c5ae5a3b3341d4,/home/dorma10/mutation-analysis/projects/commons-email/src/test/java/org/apache/commons/mail/resolver/DataSourceClassPathResolverTest.java,org.apache.commons.mail.resolver.DataSourceClassPathResolverTest,/home/dorma10/mutation-analysis/projects/commons-email/src/main/java/org/apache/commons/mail/resolver/DataSourceClassPathResolver.java,org.apache.commons.mail.resolver.DataSourceClassPathResolver,0.6190476190476191,126.0,0.7741935483870968,False,True,False,False,False,False,False,False,144,831.7037248955482,23,5,16,16,1,1,15,9,6,9,0.2,3,0.5714285714285714,0,0,0.0,7,1,0,1,19,61,216.63838926036732,8,4,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,6,False,False,False,False,False,False,False,False,0.8726322821208409,0.5639586895704269
