project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
spring-data-commons,,97351e39d9f777ffdd83074cc81698a3b55e7996,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/test/java/org/springframework/data/mapping/PropertyReferenceExceptionUnitTests.java,org.springframework.data.mapping.PropertyReferenceExceptionUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/main/java/org/springframework/data/mapping/PropertyReferenceException.java,org.springframework.data.mapping.PropertyReferenceException,0.13636363636363635,154.0,0.4827586206896552,False,False,False,False,False,False,False,False,156,1136.0724715708375,30,11,22,22,7,5,13,0,15,16,0.42857142857142855,1,0.2857142857142857,0,0,0.0,8,7,0,7,20,83,249.78982979749645,16,7,12,12,2,2,6,6,0,0,-1.0,3,0.25,0,0,0.0,4,2,0,0,4,False,False,False,False,False,True,False,False,0.7529854066669941,0.6653540333112081
spring-data-commons,,97351e39d9f777ffdd83074cc81698a3b55e7996,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/test/java/org/springframework/data/mapping/PreferredConstructorDiscovererUnitTests.java,org.springframework.data.mapping.PreferredConstructorDiscovererUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/main/java/org/springframework/data/mapping/model/PreferredConstructorDiscoverer.java,org.springframework.data.mapping.model.PreferredConstructorDiscoverer,0.8461538461538461,13.0,1.0,True,True,False,False,False,False,False,False,225,1023.6025123080876,41,21,34,34,2,2,18,15,3,10,0.26666666666666666,5,0.2857142857142857,0,0,0.0,7,2,0,1,27,167,407.4827195346928,26,9,20,20,0,0,15,15,0,0,-0.5,0,0.0,0,0,0.0,6,0,0,0,8,False,False,False,False,False,True,False,True,0.33589191056255785,0.5313228480517864
spring-data-commons,,97351e39d9f777ffdd83074cc81698a3b55e7996,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/test/java/org/springframework/data/mapping/PersistentPropertyAccessorUnitTests.java,org.springframework.data.mapping.PersistentPropertyAccessorUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/main/java/org/springframework/data/mapping/PersistentPropertyAccessor.java,org.springframework.data.mapping.PersistentPropertyAccessor,0.58,200.0,0.9189189189189191,True,True,False,False,False,False,False,False,175,1636.1441112665734,34,3,28,28,0,0,15,15,0,9,0.4,0,0.0,0,0,0.0,6,0,0,0,21,239,786.8322639078268,63,20,53,53,3,3,32,19,13,16,0.19444444444444445,3,0.4666666666666667,0,0,0.0,10,3,0,0,11,False,False,False,False,False,False,False,True,0.6787948658068975,0.5637728395638988
spring-data-commons,,97351e39d9f777ffdd83074cc81698a3b55e7996,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/test/java/org/springframework/data/mapping/PropertyPathUnitTests.java,org.springframework.data.mapping.PropertyPathUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/main/java/org/springframework/data/mapping/PropertyPath.java,org.springframework.data.mapping.PropertyPath,0.9126984126984128,378.0,0.9693877551020408,True,True,False,False,False,False,False,False,440,2751.476415780576,74,19,50,50,11,5,235,194,41,60,0.14624505928853754,1,0.08974358974358974,0,0,0.0,24,13,0,13,75,454,1446.5648838952454,238,9,197,197,0,0,820,820,0,0,-0.05128205128205128,0,0.0,0,0,0.0,41,0,0,0,61,False,False,False,False,False,True,False,True,0.8186233242352804,0.5616016213486834
spring-data-commons,,97351e39d9f777ffdd83074cc81698a3b55e7996,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/test/java/org/springframework/data/mapping/TargetAwareIdentifierAccessorUnitTests.java,org.springframework.data.mapping.TargetAwareIdentifierAccessorUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/main/java/org/springframework/data/mapping/TargetAwareIdentifierAccessor.java,org.springframework.data.mapping.TargetAwareIdentifierAccessor,0.7619047619047619,21.0,0.8,True,False,False,False,True,False,False,False,49,343.7957046958004,3,1,2,2,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,0,1,5,48,183.51680980361493,6,2,4,4,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,8,False,False,False,False,False,False,False,False,0.6302465796470642,0.6746787279844284
spring-data-commons,,97351e39d9f777ffdd83074cc81698a3b55e7996,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/test/java/org/springframework/data/mapping/ParameterUnitTests.java,org.springframework.data.mapping.ParameterUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/main/java/org/springframework/data/repository/query/Parameter.java,org.springframework.data.repository.query.Parameter,0.0,333.0,0.0,True,False,False,False,False,False,False,False,273,1508.0151982486539,69,17,52,52,7,6,103,70,33,46,0.25,2,0.16806722689075632,0,0,0.0,17,7,0,6,46,93,258.1923466843753,19,9,14,14,4,4,0,0,10,10,1.0,0,0.75,0,0,0.0,5,4,0,2,8,False,False,False,False,False,True,False,True,0.8356515099020565,0.3469659209251404
spring-data-commons,,97351e39d9f777ffdd83074cc81698a3b55e7996,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/test/java/org/springframework/data/mapping/SimpleTypeHolderUnitTests.java,org.springframework.data.mapping.SimpleTypeHolderUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/main/java/org/springframework/data/mapping/model/SimpleTypeHolder.java,org.springframework.data.mapping.model.SimpleTypeHolder,0.5757575757575758,198.0,0.9148936170212766,True,False,False,False,False,False,False,False,190,1262.146592056444,29,10,22,22,3,3,11,1,10,12,0.4,2,0.21428571428571427,0,0,0.0,7,4,1,3,16,183,413.4962295222828,66,8,49,49,2,1,136,136,0,0,-0.13333333333333333,16,0.05882352941176471,0,0,0.0,17,2,0,0,19,False,False,False,False,False,False,False,False,0.5478439001100404,0.6613852504421683
spring-data-commons,,97351e39d9f777ffdd83074cc81698a3b55e7996,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/test/java/org/springframework/data/mapping/context/PersistentPropertyPathFactoryUnitTests.java,org.springframework.data.mapping.context.PersistentPropertyPathFactoryUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/main/java/org/springframework/data/mapping/context/PersistentPropertyPathFactory.java,org.springframework.data.mapping.context.PersistentPropertyPathFactory,0.8092783505154639,194.0,0.9130434782608696,True,True,False,False,False,False,False,False,404,1831.1812185439946,57,34,46,46,3,3,52,49,3,32,0.4888888888888889,5,0.12121212121212123,0,0,0.0,11,3,0,3,38,209,661.0949333409529,70,12,56,56,1,1,25,0,66,66,0.6794871794871795,2,0.8571428571428571,0,0,0.0,14,1,0,0,18,False,False,False,False,False,True,False,True,0.4431471594919761,0.4618502000230365
spring-data-commons,,97351e39d9f777ffdd83074cc81698a3b55e7996,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/test/java/org/springframework/data/mapping/context/PersistentEntitiesUnitTests.java,org.springframework.data.mapping.context.PersistentEntitiesUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/main/java/org/springframework/data/mapping/context/PersistentEntities.java,org.springframework.data.mapping.context.PersistentEntities,0.6861924686192469,239.0,0.6875,True,True,False,False,False,False,False,False,217,1552.5042057396345,59,12,49,49,1,1,24,3,21,25,0.4444444444444444,3,0.7,0,0,0.0,10,1,0,1,36,174,519.2981555985717,65,11,58,58,2,1,21,21,0,0,-0.4,6,0.14285714285714285,0,0,0.0,7,2,0,0,12,False,False,False,False,False,True,False,True,0.39534260910004376,0.4665008442742484
spring-data-commons,,97351e39d9f777ffdd83074cc81698a3b55e7996,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/test/java/org/springframework/data/mapping/context/DefaultPersistentPropertyPathUnitTests.java,org.springframework.data.mapping.context.DefaultPersistentPropertyPathUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-commons/src/main/java/org/springframework/data/mapping/context/DefaultPersistentPropertyPath.java,org.springframework.data.mapping.context.DefaultPersistentPropertyPath,0.6177474402730375,293.0,0.6909090909090909,True,True,False,False,False,False,False,False,259,1190.056565603201,62,13,46,46,3,3,82,44,38,48,0.3142857142857143,6,0.2708333333333333,0,0,0.0,16,3,0,3,41,158,444.8545304812422,74,13,58,58,4,3,50,0,70,70,0.5238095238095238,3,0.390625,0,0,0.0,16,4,0,0,24,False,False,False,False,False,True,False,False,0.6337933829054236,0.4985549692064524
