project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
truth,core,7f3ec0ee1c1cae3418f05f84bf97827df7e52cdb,/home/dorma10/mutation-analysis/projects/truth/core/src/test/java/com/google/common/truth/ComparableSubjectTest.java,com.google.common.truth.ComparableSubjectTest,/home/dorma10/mutation-analysis/projects/truth/core/src/main/java/com/google/common/truth/ComparableSubject.java,com.google.common.truth.ComparableSubject,0.96,75.0,1.0,True,True,False,False,True,False,False,True,113,856.5108319937268,22,2,14,14,1,1,0,0,28,28,1.0,0,1.0,0,0,0.0,8,1,0,1,16,247,1072.5586132277951,91,10,75,75,0,0,120,120,0,16,0.009523809523809523,0,0.0,0,0,0.0,16,0,0,0,18,False,False,False,False,False,False,False,False,0.8713784292340279,0.7058039816717306
truth,core,7f3ec0ee1c1cae3418f05f84bf97827df7e52cdb,/home/dorma10/mutation-analysis/projects/truth/core/src/test/java/com/google/common/truth/PrimitiveFloatArraySubjectTest.java,com.google.common.truth.PrimitiveFloatArraySubjectTest,/home/dorma10/mutation-analysis/projects/truth/core/src/main/java/com/google/common/truth/PrimitiveFloatArraySubject.java,com.google.common.truth.PrimitiveFloatArraySubject,0.8604651162790697,172.0,1.0,True,True,False,False,True,False,False,False,274,3064.9667661077387,25,7,15,15,2,2,35,25,10,13,0.1111111111111111,7,0.3,0,0,0.0,10,2,0,2,31,774,2934.360745444213,414,14,351,351,9,1,1716,1479,237,329,0.14119513484928609,7,0.08641975308641975,0,0,0.0,63,9,0,9,86,False,False,False,False,False,False,False,False,0.74049351495855,0.6280717555256117
truth,core,7f3ec0ee1c1cae3418f05f84bf97827df7e52cdb,/home/dorma10/mutation-analysis/projects/truth/core/src/test/java/com/google/common/truth/MultisetSubjectTest.java,com.google.common.truth.MultisetSubjectTest,/home/dorma10/mutation-analysis/projects/truth/core/src/main/java/com/google/common/truth/MultisetSubject.java,com.google.common.truth.MultisetSubject,0.7457627118644068,59.0,1.0,False,False,False,False,False,False,False,False,43,258.9678025893902,7,3,5,5,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3,55,180.6754891378344,14,7,11,11,0,0,3,3,0,2,0.0,0,0.0,0,0,0.0,3,0,0,0,4,False,False,False,False,False,False,False,False,0.4890267103910446,0.5264815290768942
truth,core,7f3ec0ee1c1cae3418f05f84bf97827df7e52cdb,/home/dorma10/mutation-analysis/projects/truth/core/src/test/java/com/google/common/truth/PrimitiveLongArraySubjectTest.java,com.google.common.truth.PrimitiveLongArraySubjectTest,/home/dorma10/mutation-analysis/projects/truth/core/src/main/java/com/google/common/truth/PrimitiveLongArraySubject.java,com.google.common.truth.PrimitiveLongArraySubject,1.0,11.0,1.0,True,False,False,False,False,False,False,True,38,159.6794379266619,5,2,3,3,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3,100,412.8194967596258,49,4,37,37,0,0,66,66,0,17,0.10909090909090907,0,0.0,0,0,0.0,12,0,0,0,17,False,False,False,False,False,False,False,False,0.6313117742538452,0.7265011419852575
truth,core,7f3ec0ee1c1cae3418f05f84bf97827df7e52cdb,/home/dorma10/mutation-analysis/projects/truth/core/src/test/java/com/google/common/truth/ObjectArraySubjectTest.java,com.google.common.truth.ObjectArraySubjectTest,/home/dorma10/mutation-analysis/projects/truth/core/src/main/java/com/google/common/truth/ObjectArraySubject.java,com.google.common.truth.ObjectArraySubject,1.0,11.0,1.0,True,False,False,False,False,False,False,True,38,174.67308950110618,5,2,3,3,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3,292,1177.0993915999738,161,7,121,121,1,1,777,774,3,106,0.09041835357624832,37,0.075,0,0,0.0,40,1,0,1,56,False,False,False,False,False,False,False,False,0.6172609925270081,0.6934244737029076
truth,core,7f3ec0ee1c1cae3418f05f84bf97827df7e52cdb,/home/dorma10/mutation-analysis/projects/truth/core/src/test/java/com/google/common/truth/IntegerSubjectTest.java,com.google.common.truth.IntegerSubjectTest,/home/dorma10/mutation-analysis/projects/truth/core/src/main/java/com/google/common/truth/IntegerSubject.java,com.google.common.truth.IntegerSubject,0.0,1.0,0.5,True,False,False,False,False,False,True,False,42,325.10736293989606,2,1,0,0,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,3,278,1340.5373818928533,91,5,63,63,1,1,378,378,0,14,-0.037037037037037035,27,0.03571428571428571,0,0,0.0,28,1,0,1,33,False,False,False,False,False,False,False,False,0.8985480964183807,0.6459334439464978
truth,core,7f3ec0ee1c1cae3418f05f84bf97827df7e52cdb,/home/dorma10/mutation-analysis/projects/truth/core/src/test/java/com/google/common/truth/ActualValueInferenceTest.java,com.google.common.truth.ActualValueInferenceTest,/home/dorma10/mutation-analysis/projects/truth/core/src/main/java/com/google/common/truth/ActualValueInference.java,com.google.common.truth.ActualValueInference,0.5647058823529412,255.0,0.75,False,False,False,False,False,False,False,False,1517,10159.454585990032,30,24,20,20,2,1,45,45,0,2,-0.19444444444444445,10,0.05,0,0,0.0,10,2,0,2,26,242,524.9487179589897,61,8,37,37,0,0,276,276,0,0,-0.09090909090909093,0,0.0,0,0,0.0,24,0,0,0,39,False,False,False,False,True,True,False,True,0.6952190652936789,0.7394173804981014
truth,core,7f3ec0ee1c1cae3418f05f84bf97827df7e52cdb,/home/dorma10/mutation-analysis/projects/truth/core/src/test/java/com/google/common/truth/PrimitiveIntArraySubjectTest.java,com.google.common.truth.PrimitiveIntArraySubjectTest,/home/dorma10/mutation-analysis/projects/truth/core/src/main/java/com/google/common/truth/PrimitiveIntArraySubject.java,com.google.common.truth.PrimitiveIntArraySubject,1.0,11.0,1.0,True,False,False,False,False,False,False,True,38,159.6794379266619,5,2,3,3,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3,142,611.108707686998,77,5,58,58,1,1,168,165,3,32,0.0915032679738562,16,0.15789473684210525,0,0,0.0,19,1,0,1,25,False,False,False,False,False,False,False,False,0.6234118342399597,0.7529383960523104
truth,core,7f3ec0ee1c1cae3418f05f84bf97827df7e52cdb,/home/dorma10/mutation-analysis/projects/truth/core/src/test/java/com/google/common/truth/IterableSubjectTest.java,com.google.common.truth.IterableSubjectTest,/home/dorma10/mutation-analysis/projects/truth/core/src/main/java/com/google/common/truth/IterableSubject.java,com.google.common.truth.IterableSubject,0.8165796344647521,1532.0,0.9825174825174824,True,True,False,False,False,False,False,True,2126,12858.897856713662,252,52,205,205,4,3,956,831,125,170,0.11980676328502415,13,0.1276595744680851,0,0,0.0,47,4,0,3,130,1212,5876.782018426585,736,15,586,586,3,3,11168,11161,7,131,-0.0016325049882096865,74,0.015555555555555557,0,0,0.0,150,3,0,3,179,False,False,False,True,True,True,False,True,0.6978220655970896,0.6184214922862176
truth,core,7f3ec0ee1c1cae3418f05f84bf97827df7e52cdb,/home/dorma10/mutation-analysis/projects/truth/core/src/test/java/com/google/common/truth/ExpectFailureTest.java,com.google.common.truth.ExpectFailureTest,/home/dorma10/mutation-analysis/projects/truth/core/src/main/java/com/google/common/truth/ExpectFailure.java,com.google.common.truth.ExpectFailure,0.6532258064516129,124.0,0.6842105263157895,True,True,False,False,False,False,False,False,243,2420.5462277219112,41,10,27,27,4,3,78,65,13,26,0.16666666666666666,4,0.19642857142857145,0,0,0.0,14,4,0,4,39,170,878.798505576844,81,7,68,68,1,1,33,0,45,46,0.5151515151515151,3,0.7692307692307693,0,0,0.0,13,1,0,1,28,False,False,False,False,False,False,False,False,0.7695873454213142,0.6041206559714151
