project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/BasicParserTest.java,org.apache.commons.cli.BasicParserTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/BasicParser.java,org.apache.commons.cli.BasicParser,1.0,1.0,1.0,False,False,False,False,False,False,True,False,51,395.263088379613,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,153,306.5746258946122,25,3,0,0,0,0,300,300,0,0,-0.08695652173913042,0,0.0,0,0,0.0,25,0,0,0,50,False,False,False,False,False,False,False,False,0.9243707060813904,0.7988079524040222
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/PatternOptionBuilderTest.java,org.apache.commons.cli.PatternOptionBuilderTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/PatternOptionBuilder.java,org.apache.commons.cli.PatternOptionBuilder,0.967741935483871,31.0,0.9607843137254902,True,False,False,True,False,False,False,False,207,1427.5605198986054,14,4,11,11,9,9,3,3,0,2,0.0,0,0.3333333333333333,0,0,0.0,3,9,9,0,12,188,1018.1682974716356,61,11,52,52,0,0,36,36,0,0,-0.2857142857142857,0,0.0,0,0,0.0,9,0,0,0,20,False,False,False,False,False,False,False,True,0.8564676642417908,0.4861220251768827
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/OptionsTest.java,org.apache.commons.cli.OptionsTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/Options.java,org.apache.commons.cli.Options,0.5,30.0,0.7619047619047619,True,True,False,False,False,False,False,False,367,2152.1070759359577,62,8,45,45,5,4,106,76,30,45,0.2416666666666667,3,0.21176470588235294,0,0,0.0,17,5,0,5,53,185,751.8361455285252,66,7,56,56,0,0,45,45,0,0,-0.25,0,0.0,0,0,0.0,10,0,0,0,15,False,False,False,False,False,False,False,False,0.8933213949203491,0.8044510781764984
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/OptionTest.java,org.apache.commons.cli.OptionTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/Option.java,org.apache.commons.cli.Option,0.5268817204301075,93.0,0.5846153846153846,True,True,False,False,False,False,False,False,1015,5848.930497032127,87,3,39,39,13,7,926,724,202,211,0.1517113783533765,3,0.11378205128205128,0,0,0.0,48,13,2,11,133,219,858.7758344723544,70,5,60,60,0,0,45,45,0,1,-0.2222222222222222,0,0.0,0,0,0.0,10,0,0,0,10,False,False,False,True,True,False,False,False,0.931751062945714,0.6683960906396221
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/CommandLineTest.java,org.apache.commons.cli.CommandLineTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/CommandLine.java,org.apache.commons.cli.CommandLine,0.5833333333333334,36.0,0.7288135593220338,True,True,False,False,False,False,False,False,425,2501.4837552659947,67,7,47,47,3,3,166,142,24,41,0.1286549707602339,8,0.16666666666666666,0,0,0.0,20,3,0,3,54,93,398.4526346463926,38,4,34,34,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,8,False,False,False,False,False,False,False,False,0.914802813011667,0.5613052994012833
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/OptionGroupTest.java,org.apache.commons.cli.OptionGroupTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/OptionGroup.java,org.apache.commons.cli.OptionGroup,0.9230769230769232,13.0,0.9428571428571428,True,True,False,False,True,False,False,False,179,907.5771325072664,23,5,15,15,4,4,23,18,5,6,-0.047619047619047616,2,0.21875,0,0,0.0,8,4,0,4,23,259,1118.7999528068317,86,7,72,72,2,2,25,0,66,66,0.6794871794871795,3,0.8214285714285714,0,0,0.0,14,2,0,2,30,False,False,False,False,False,False,False,False,0.9569190219044684,0.7398721022265298
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/GnuParserTest.java,org.apache.commons.cli.GnuParserTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/GnuParser.java,org.apache.commons.cli.GnuParser,1.0,17.0,1.0,False,False,False,False,False,False,False,False,115,936.3359899995496,10,2,9,9,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,6,138,282.5329935096075,22,3,0,0,0,0,231,231,0,0,-0.1,0,0.0,0,0,0.0,22,0,0,0,44,False,False,False,False,False,False,False,False,0.3601314127445221,0.7879792289300398
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/DefaultParserTest.java,org.apache.commons.cli.DefaultParserTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,org.apache.commons.cli.DefaultParser,0.9161290322580644,155.0,0.9844559585492229,False,False,False,False,False,False,False,False,707,3942.9762436257924,145,4,122,122,7,6,135,17,118,131,0.4718614718614719,3,0.2484472049689441,0,0,0.0,23,7,0,0,99,29,43.27459434701642,1,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2,False,False,False,True,False,False,False,True,0.7880352087642836,0.9447320699691772
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/OptionBuilderTest.java,org.apache.commons.cli.OptionBuilderTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/OptionBuilder.java,org.apache.commons.cli.OptionBuilder,0.3,30.0,0.6818181818181818,True,True,False,False,False,False,False,False,396,2120.8478825868806,34,0,13,13,8,5,71,0,139,142,0.6421052631578947,2,0.2645502645502645,0,0,0.0,21,9,0,9,54,200,565.2356255064176,70,5,61,61,0,0,36,36,0,0,-0.2857142857142857,0,0.0,0,0,0.0,9,0,0,0,14,False,False,False,False,False,False,False,False,0.9343350472904388,0.7619470887713962
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/UtilTest.java,org.apache.commons.cli.UtilTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/Util.java,org.apache.commons.cli.Util,0.9333333333333332,15.0,0.8333333333333334,True,False,False,False,False,False,True,False,72,469.2455965326555,10,0,8,8,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,8,45,103.17835962612727,7,3,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,False,False,False,False,False,0.8371237218379974,0.7250441610813141
