project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-net,,5e5b43f747e06beed90c84cdc40b373b8110090b,/home/dorma10/mutation-analysis/projects/commons-net/src/test/java/org/apache/commons/net/SocketClientTest.java,org.apache.commons.net.SocketClientTest,/home/dorma10/mutation-analysis/projects/commons-net/src/main/java/org/apache/commons/net/SocketClient.java,org.apache.commons.net.SocketClient,0.024299065420560748,535.0,0.18831168831168832,True,True,False,False,False,False,False,False,885,6407.6741327610025,108,12,57,57,18,10,1067,859,208,225,0.14285714285714285,2,0.07298474945533769,0,0,0.0,51,18,1,8,170,48,207.1158046214199,7,4,6,6,2,2,0,0,0,0,1.0,0,1.0,0,0,0.0,1,2,0,2,2,False,False,False,True,False,True,False,False,0.9193299167296466,0.7620077729225159
commons-net,,5e5b43f747e06beed90c84cdc40b373b8110090b,/home/dorma10/mutation-analysis/projects/commons-net/src/test/java/org/apache/commons/net/SubnetUtilsTest.java,org.apache.commons.net.SubnetUtilsTest,/home/dorma10/mutation-analysis/projects/commons-net/src/main/java/org/apache/commons/net/util/SubnetUtils.java,org.apache.commons.net.util.SubnetUtils,0.7987804878048781,656.0,0.9148936170212766,True,True,False,False,False,False,False,False,384,3188.809199986626,33,2,22,22,11,4,51,47,4,10,0.0,1,0.14049586776859505,0,0,0.0,11,11,0,11,38,403,1900.379712000044,91,3,76,76,0,0,105,105,0,0,-0.15384615384615385,0,0.0,0,0,0.0,15,0,0,0,25,False,False,False,False,False,False,False,False,0.8099722765824374,0.6282768189907074
commons-net,,5e5b43f747e06beed90c84cdc40b373b8110090b,/home/dorma10/mutation-analysis/projects/commons-net/src/test/java/org/apache/commons/net/io/DotTerminatedMessageReaderTest.java,org.apache.commons.net.io.DotTerminatedMessageReaderTest,/home/dorma10/mutation-analysis/projects/commons-net/src/main/java/org/apache/commons/net/io/DotTerminatedMessageReader.java,org.apache.commons.net.io.DotTerminatedMessageReader,0.6233108108108109,592.0,0.7536231884057971,False,True,False,False,True,False,False,False,250,2228.314539376601,16,3,10,10,6,3,9,3,6,13,0.8,0,0.3333333333333333,0,0,0.0,6,6,0,6,28,182,520.742224828684,60,3,48,48,6,4,0,0,66,66,1.0,0,0.7916666666666666,0,0,0.0,12,6,0,6,37,False,False,False,False,False,False,False,False,0.887477695941925,0.5900865842898687
commons-net,,5e5b43f747e06beed90c84cdc40b373b8110090b,/home/dorma10/mutation-analysis/projects/commons-net/src/test/java/org/apache/commons/net/io/ToNetASCIIInputStreamTest.java,org.apache.commons.net.io.ToNetASCIIInputStreamTest,/home/dorma10/mutation-analysis/projects/commons-net/src/main/java/org/apache/commons/net/io/ToNetASCIIInputStream.java,org.apache.commons.net.io.ToNetASCIIInputStream,0.4941860465116279,344.0,0.9117647058823528,False,False,False,False,False,False,False,False,185,1205.8722747801269,11,3,5,5,4,1,12,9,3,7,0.2,1,0.3333333333333333,0,0,0.0,6,4,0,4,23,101,537.0908837178806,15,5,10,10,1,1,10,10,0,4,0.0,4,0.2,0,0,0.0,5,1,0,1,15,False,False,False,False,False,False,False,False,0.9119658966859182,0.6737699151039124
commons-net,,5e5b43f747e06beed90c84cdc40b373b8110090b,/home/dorma10/mutation-analysis/projects/commons-net/src/test/java/org/apache/commons/net/ftp/FTPClientConfigTest.java,org.apache.commons.net.ftp.FTPClientConfigTest,/home/dorma10/mutation-analysis/projects/commons-net/src/main/java/org/apache/commons/net/ftp/FTPClientConfig.java,org.apache.commons.net.ftp.FTPClientConfig,0.4517543859649123,228.0,0.5398230088495575,True,True,False,False,False,False,False,False,709,6649.880993094466,34,6,8,8,20,3,246,167,79,81,0.18666666666666668,1,0.09423076923076924,0,0,0.0,26,20,11,9,78,194,800.3397707829456,29,6,23,23,10,1,14,13,1,1,-0.4,0,0.18333333333333326,0,0,0.0,6,10,0,10,10,True,False,False,True,False,False,False,False,0.9063709939901644,0.7184207638104757
commons-net,,5e5b43f747e06beed90c84cdc40b373b8110090b,/home/dorma10/mutation-analysis/projects/commons-net/src/test/java/org/apache/commons/net/ftp/FTPCommandTest.java,org.apache.commons.net.ftp.FTPCommandTest,/home/dorma10/mutation-analysis/projects/commons-net/src/main/java/org/apache/commons/net/ftp/FTPCommand.java,org.apache.commons.net.ftp.FTPCommand,0.3488372093023256,43.0,0.5714285714285714,False,False,False,False,False,False,True,False,171,1283.5166459157665,3,0,0,0,76,2,2,1,1,1,-1.0,0,0.013157894736842105,0,0,0.0,3,76,74,2,7,34,57.24402910977006,3,1,1,1,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,True,False,False,False,False,False,False,False,0.8769072890281677,0.8919978141784668
commons-net,,5e5b43f747e06beed90c84cdc40b373b8110090b,/home/dorma10/mutation-analysis/projects/commons-net/src/test/java/org/apache/commons/net/ftp/FTPClientTest.java,org.apache.commons.net.ftp.FTPClientTest,/home/dorma10/mutation-analysis/projects/commons-net/src/main/java/org/apache/commons/net/ftp/FTPClient.java,org.apache.commons.net.ftp.FTPClient,0.06854949273375377,3647.0,0.14864864864864866,True,True,False,False,False,False,False,False,4097,25385.09031500537,466,36,323,323,41,14,9933,9713,220,319,0.017680551393467185,3,0.025754733071806243,0,0,0.0,143,41,7,34,638,202,1065.6169763462724,60,7,47,47,1,1,78,78,0,0,-0.18181818181818185,12,0.07692307692307693,0,0,0.0,13,1,0,1,27,False,False,False,True,True,True,False,True,0.860961474776268,0.6177203532527474
commons-net,,5e5b43f747e06beed90c84cdc40b373b8110090b,/home/dorma10/mutation-analysis/projects/commons-net/src/test/java/org/apache/commons/net/ftp/parser/DefaultFTPFileEntryParserFactoryTest.java,org.apache.commons.net.ftp.parser.DefaultFTPFileEntryParserFactoryTest,/home/dorma10/mutation-analysis/projects/commons-net/src/main/java/org/apache/commons/net/ftp/parser/DefaultFTPFileEntryParserFactory.java,org.apache.commons.net.ftp.parser.DefaultFTPFileEntryParserFactory,0.6685714285714286,350.0,0.8333333333333334,True,True,False,False,False,False,False,False,294,2472.803708014798,31,4,19,19,3,2,66,66,0,9,-0.03636363636363636,6,0.027777777777777776,0,0,0.0,12,3,0,3,42,160,836.6811908365065,20,3,17,17,0,0,3,3,0,1,-1.0,0,0.0,0,0,0.0,3,0,0,0,7,False,False,False,False,False,False,False,False,0.7198503166437149,0.3700060397386551
commons-net,,5e5b43f747e06beed90c84cdc40b373b8110090b,/home/dorma10/mutation-analysis/projects/commons-net/src/test/java/org/apache/commons/net/ftp/parser/OS2FTPEntryParserTest.java,org.apache.commons.net.ftp.parser.OS2FTPEntryParserTest,/home/dorma10/mutation-analysis/projects/commons-net/src/main/java/org/apache/commons/net/ftp/parser/OS2FTPEntryParser.java,org.apache.commons.net.ftp.parser.OS2FTPEntryParser,0.8620689655172413,116.0,1.0,True,False,False,False,False,False,False,False,145,1098.9204346191034,14,3,10,10,2,1,6,6,0,0,-1.0,3,0.25,0,0,0.0,4,2,0,2,17,116,803.681101808625,32,2,24,24,2,1,28,28,0,2,-0.2380952380952381,7,0.125,0,0,0.0,8,2,0,2,15,False,False,False,False,False,False,False,False,0.8837653398513794,0.8463658839464188
commons-net,,5e5b43f747e06beed90c84cdc40b373b8110090b,/home/dorma10/mutation-analysis/projects/commons-net/src/test/java/org/apache/commons/net/ftp/parser/MacOsPeterFTPEntryParserTest.java,org.apache.commons.net.ftp.parser.MacOsPeterFTPEntryParserTest,/home/dorma10/mutation-analysis/projects/commons-net/src/main/java/org/apache/commons/net/ftp/parser/MacOsPeterFTPEntryParser.java,org.apache.commons.net.ftp.parser.MacOsPeterFTPEntryParser,0.584070796460177,452.0,0.7313432835820896,True,False,False,False,False,False,False,False,277,1933.139777806862,24,3,20,20,3,1,6,6,0,0,-1.0,1,0.25,0,0,0.0,4,3,0,1,20,163,1063.214555120903,53,3,44,44,2,1,36,36,0,4,-0.14285714285714285,8,0.1111111111111111,0,0,0.0,9,2,0,2,19,False,False,False,False,False,False,False,True,0.9251993745565414,0.7106550004747179
