project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
zxing,core,67138cedc8cd2c8db2158be5da402ba0e2e1b000,/home/dorma10/mutation-analysis/projects/zxing/core/src/test/java/com/google/zxing/PlanarYUVLuminanceSourceTestCase.java,com.google.zxing.PlanarYUVLuminanceSourceTestCase,/home/dorma10/mutation-analysis/projects/zxing/core/src/main/java/com/google/zxing/PlanarYUVLuminanceSource.java,com.google.zxing.PlanarYUVLuminanceSource,0.6376518218623481,988.0,0.7241379310344828,True,True,False,False,False,False,False,False,168,1482.5975323078574,20,0,11,11,6,2,18,0,18,18,0.35714285714285715,0,0.5555555555555556,0,0,0.0,9,6,0,6,25,83,429.0981404224887,15,2,11,11,4,2,3,0,3,5,0.6666666666666666,0,0.6875,0,0,0.0,4,4,0,4,7,False,False,False,False,False,False,False,False,0.7393815981017219,0.5642078071832657
zxing,core,67138cedc8cd2c8db2158be5da402ba0e2e1b000,/home/dorma10/mutation-analysis/projects/zxing/core/src/test/java/com/google/zxing/RGBLuminanceSourceTestCase.java,com.google.zxing.RGBLuminanceSourceTestCase,/home/dorma10/mutation-analysis/projects/zxing/core/src/main/java/com/google/zxing/RGBLuminanceSource.java,com.google.zxing.RGBLuminanceSource,0.91899852724595,679.0,0.9583333333333334,True,True,False,False,True,False,False,False,136,1058.835904952673,12,0,6,6,5,2,5,0,10,10,0.5,0,0.8,0,0,0.0,6,5,0,5,18,63,210.6959052205899,19,2,15,15,1,1,0,0,6,6,1.0,0,1.0,0,0,0.0,4,1,0,1,4,False,False,False,False,False,False,False,False,0.7219811280568441,0.5492050610482693
zxing,core,67138cedc8cd2c8db2158be5da402ba0e2e1b000,/home/dorma10/mutation-analysis/projects/zxing/core/src/test/java/com/google/zxing/client/result/URIParsedResultTestCase.java,com.google.zxing.client.result.URIParsedResultTestCase,/home/dorma10/mutation-analysis/projects/zxing/core/src/main/java/com/google/zxing/client/result/URIParsedResult.java,com.google.zxing.client.result.URIParsedResult,0.6083916083916084,143.0,0.7619047619047619,True,True,False,False,False,False,False,False,86,620.1846010824278,17,0,10,10,2,1,4,0,17,17,0.7333333333333333,3,0.6428571428571429,0,0,0.0,7,2,0,2,17,139,638.8256983577793,33,4,22,22,0,0,55,55,0,8,-0.04444444444444445,0,0.0,0,0,0.0,11,0,0,0,12,False,False,False,False,False,False,False,False,0.842816982950483,0.5785740729082715
zxing,core,67138cedc8cd2c8db2158be5da402ba0e2e1b000,/home/dorma10/mutation-analysis/projects/zxing/core/src/test/java/com/google/zxing/client/result/TelParsedResultTestCase.java,com.google.zxing.client.result.TelParsedResultTestCase,/home/dorma10/mutation-analysis/projects/zxing/core/src/main/java/com/google/zxing/client/result/TelParsedResult.java,com.google.zxing.client.result.TelParsedResult,0.3636363636363637,22.0,0.6666666666666666,True,True,False,False,False,False,False,False,57,242.2093543229296,7,0,2,2,3,1,4,0,6,6,0.3333333333333333,1,0.5333333333333333,0,0,0.0,5,3,0,3,9,47,198.8478273508469,10,4,8,8,0,0,1,1,0,1,0.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,False,False,False,False,False,0.8807723879814148,0.6706591397523879
zxing,core,67138cedc8cd2c8db2158be5da402ba0e2e1b000,/home/dorma10/mutation-analysis/projects/zxing/core/src/test/java/com/google/zxing/client/result/ProductParsedResultTestCase.java,com.google.zxing.client.result.ProductParsedResultTestCase,/home/dorma10/mutation-analysis/projects/zxing/core/src/main/java/com/google/zxing/client/result/ProductParsedResult.java,com.google.zxing.client.result.ProductParsedResult,0.75,8.0,0.6666666666666666,True,True,False,False,False,False,True,False,52,223.8450765173792,5,0,0,0,2,1,3,0,7,7,0.5,2,0.6,0,0,0.0,5,2,0,2,8,48,199.91930654206425,9,4,7,7,0,0,1,1,0,1,0.0,0,0.0,0,0,0.0,2,0,0,0,3,False,False,False,False,False,False,False,False,0.8050917029380799,0.6679226756095886
zxing,core,67138cedc8cd2c8db2158be5da402ba0e2e1b000,/home/dorma10/mutation-analysis/projects/zxing/core/src/test/java/com/google/zxing/client/result/CalendarParsedResultTestCase.java,com.google.zxing.client.result.CalendarParsedResultTestCase,/home/dorma10/mutation-analysis/projects/zxing/core/src/main/java/com/google/zxing/client/result/CalendarParsedResult.java,com.google.zxing.client.result.CalendarParsedResult,0.4456140350877193,570.0,0.6913580246913579,True,True,False,False,False,False,False,False,259,1784.9311073365336,47,10,28,28,14,7,144,117,27,31,0.08496732026143791,1,0.13533834586466165,0,0,0.0,19,14,0,14,57,250,1071.0411029031675,58,9,40,40,1,1,153,153,0,27,0.07352941176470587,17,0.05555555555555555,0,0,0.0,18,1,0,1,24,False,False,False,False,False,False,False,True,0.807647674491531,0.8659708441959487
zxing,core,67138cedc8cd2c8db2158be5da402ba0e2e1b000,/home/dorma10/mutation-analysis/projects/zxing/core/src/test/java/com/google/zxing/client/result/WifiParsedResultTestCase.java,com.google.zxing.client.result.WifiParsedResultTestCase,/home/dorma10/mutation-analysis/projects/zxing/core/src/main/java/com/google/zxing/client/result/WifiParsedResult.java,com.google.zxing.client.result.WifiParsedResult,0.16071428571428573,56.0,0.4642857142857143,True,True,False,False,False,False,False,False,97,465.77415393939947,14,0,2,2,8,2,41,16,25,25,0.2545454545454545,1,0.28125,0,0,0.0,12,8,0,8,24,90,429.8232552348906,16,4,11,11,0,0,10,10,0,4,0.0,0,0.0,0,0,0.0,5,0,0,0,8,False,False,False,False,False,False,False,False,0.7810658117135366,0.9067492604255676
zxing,core,67138cedc8cd2c8db2158be5da402ba0e2e1b000,/home/dorma10/mutation-analysis/projects/zxing/core/src/test/java/com/google/zxing/client/result/EmailAddressParsedResultTestCase.java,com.google.zxing.client.result.EmailAddressParsedResultTestCase,/home/dorma10/mutation-analysis/projects/zxing/core/src/main/java/com/google/zxing/client/result/EmailAddressParsedResult.java,com.google.zxing.client.result.EmailAddressParsedResult,0.4126984126984127,63.0,0.6086956521739131,True,True,False,False,False,False,False,False,99,575.8716589926182,12,0,2,2,5,2,31,17,14,14,0.1388888888888889,1,0.32,0,0,0.0,10,5,0,5,19,121,458.60518318810927,27,4,18,18,0,0,36,36,0,15,0.25,0,0.0,0,0,0.0,9,0,0,0,9,False,False,False,False,False,False,False,False,0.8989593923091889,0.8698357144991556
zxing,core,67138cedc8cd2c8db2158be5da402ba0e2e1b000,/home/dorma10/mutation-analysis/projects/zxing/core/src/test/java/com/google/zxing/client/result/VINParsedResultTestCase.java,com.google.zxing.client.result.VINParsedResultTestCase,/home/dorma10/mutation-analysis/projects/zxing/core/src/main/java/com/google/zxing/client/result/VINParsedResult.java,com.google.zxing.client.result.VINParsedResult,0.23741007194244604,139.0,0.6333333333333333,True,True,False,False,False,False,False,False,106,485.386296476864,13,0,2,2,9,3,38,21,17,17,0.15555555555555556,1,0.2525252525252525,0,0,0.0,11,9,0,9,24,70,292.1432509399905,19,4,16,16,0,0,3,3,0,1,-1.0,0,0.0,0,0,0.0,3,0,0,0,4,False,False,False,False,False,False,False,False,0.8250529088757255,0.5944548547267914
zxing,core,67138cedc8cd2c8db2158be5da402ba0e2e1b000,/home/dorma10/mutation-analysis/projects/zxing/core/src/test/java/com/google/zxing/client/result/AddressBookParsedResultTestCase.java,com.google.zxing.client.result.AddressBookParsedResultTestCase,/home/dorma10/mutation-analysis/projects/zxing/core/src/main/java/com/google/zxing/client/result/AddressBookParsedResult.java,com.google.zxing.client.result.AddressBookParsedResult,0.3983739837398374,123.0,0.5614035087719298,True,True,False,False,False,False,False,False,220,1350.4949341321926,21,0,2,2,16,2,132,93,39,39,0.13725490196078433,1,0.17105263157894735,0,0,0.0,19,16,0,16,44,165,879.5343075187517,45,4,30,30,0,0,105,105,0,14,0.0,0,0.0,0,0,0.0,15,0,0,0,15,False,False,False,False,False,False,False,False,0.8876818198906747,0.8057061175505319
